conversation,ground_truth,allowed_restaurant,allowed_bank,pii_entities
"I said my SSN 555-66-7788, my Mastercard ending 8801, my IP 10.0.0.77, and my email riley.hansen@horizonmedia.io.","[SSN, CREDIT_CARD, IP, EMAIL]",[EMAIL],"[EMAIL, CREDIT_CARD, SSN]","[{""text"": ""SSN"", ""label"": ""ORG"", ""start"": 10, ""end"": 13, ""source"": ""spacy""}, {""text"": ""555"", ""label"": ""CARDINAL"", ""start"": 14, ""end"": 17, ""source"": ""spacy""}, {""text"": ""Mastercard"", ""label"": ""ORG"", ""start"": 30, ""end"": 40, ""source"": ""spacy""}, {""text"": ""8801"", ""label"": ""DATE"", ""start"": 48, ""end"": 52, ""source"": ""spacy""}, {""text"": ""IP 10.0.0.77"", ""label"": ""ORG"", ""start"": 57, ""end"": 69, ""source"": ""spacy""}, {""text"": ""riley.hansen@horizonmedia.io"", ""label"": ""EMAIL"", ""start"": 84, ""end"": 112, ""source"": ""regex""}, {""text"": ""10.0.0.77"", ""label"": ""IP_ADDRESS"", ""start"": 60, ""end"": 69, ""source"": ""regex""}, {""text"": ""555-66-7788"", ""label"": ""SSN"", ""start"": 14, ""end"": 25, ""source"": ""regex""}]"
"I told the rep my name is Grayson Hunt, my phone is 646-555-0099, my email grayson.h@blueskytech.com, and I live in Brooklyn.","[NAME, PHONE, EMAIL, location]","[PHONE, EMAIL]","[EMAIL, PHONE]","[{""text"": ""Grayson Hunt"", ""label"": ""PERSON"", ""start"": 26, ""end"": 38, ""source"": ""spacy""}, {""text"": ""646"", ""label"": ""CARDINAL"", ""start"": 52, ""end"": 55, ""source"": ""spacy""}, {""text"": ""grayson.h@blueskytech.com"", ""label"": ""ORG"", ""start"": 75, ""end"": 100, ""source"": ""spacy""}, {""text"": ""Brooklyn"", ""label"": ""GPE"", ""start"": 116, ""end"": 124, ""source"": ""spacy""}, {""text"": ""grayson.h@blueskytech.com"", ""label"": ""EMAIL"", ""start"": 75, ""end"": 100, ""source"": ""regex""}, {""text"": ""646-555-0099"", ""label"": ""PHONE"", ""start"": 52, ""end"": 64, ""source"": ""regex""}]"
"Earlier I shared my date of birth 01/15/1992, my email madeline.pierce@aperturelabs.co, my phone 415-555-7333, and my IP 172.16.88.8.","[DATE/DOB, EMAIL, PHONE, IP]","[PHONE, EMAIL]","[EMAIL, PHONE, DATE/DOB]","[{""text"": ""01/15/1992"", ""label"": ""FAC"", ""start"": 34, ""end"": 44, ""source"": ""spacy""}, {""text"": ""415"", ""label"": ""CARDINAL"", ""start"": 97, ""end"": 100, ""source"": ""spacy""}, {""text"": ""IP 172.16.88.8"", ""label"": ""ORG"", ""start"": 118, ""end"": 132, ""source"": ""spacy""}, {""text"": ""madeline.pierce@aperturelabs.co"", ""label"": ""EMAIL"", ""start"": 55, ""end"": 86, ""source"": ""regex""}, {""text"": ""415-555-7333"", ""label"": ""PHONE"", ""start"": 97, ""end"": 109, ""source"": ""regex""}, {""text"": ""172.16.88.8"", ""label"": ""IP_ADDRESS"", ""start"": 121, ""end"": 132, ""source"": ""regex""}]"
"I mentioned my SSN 110-22-3344, card ending 7755, my email tyler.stone@vertex.ai, and my name is Tyler Stone.","[SSN, CREDIT_CARD, EMAIL, NAME]",[EMAIL],"[EMAIL, CREDIT_CARD, SSN]","[{""text"": ""SSN"", ""label"": ""ORG"", ""start"": 15, ""end"": 18, ""source"": ""spacy""}, {""text"": ""Tyler Stone"", ""label"": ""ORG"", ""start"": 97, ""end"": 108, ""source"": ""spacy""}, {""text"": ""tyler.stone@vertex.ai"", ""label"": ""EMAIL"", ""start"": 59, ""end"": 80, ""source"": ""regex""}, {""text"": ""110-22-3344"", ""label"": ""SSN"", ""start"": 19, ""end"": 30, ""source"": ""regex""}]"
"I said my phone 312-555-9910, my email anna.shaw@orioncloud.io, DOB 1987-07-07, and I live in Chicago.","[PHONE, EMAIL, DATE/DOB, location]","[PHONE, EMAIL]","[EMAIL, PHONE, DATE/DOB]","[{""text"": ""312"", ""label"": ""CARDINAL"", ""start"": 16, ""end"": 19, ""source"": ""spacy""}, {""text"": ""DOB"", ""label"": ""ORG"", ""start"": 64, ""end"": 67, ""source"": ""spacy""}, {""text"": ""1987-07-07"", ""label"": ""DATE"", ""start"": 68, ""end"": 78, ""source"": ""spacy""}, {""text"": ""Chicago"", ""label"": ""GPE"", ""start"": 94, ""end"": 101, ""source"": ""spacy""}, {""text"": ""anna.shaw@orioncloud.io"", ""label"": ""EMAIL"", ""start"": 39, ""end"": 62, ""source"": ""regex""}, {""text"": ""312-555-9910"", ""label"": ""PHONE"", ""start"": 16, ""end"": 28, ""source"": ""regex""}]"
"I told them I'm Jordan Barrett, my IP 203.0.113.21, my email jordan.b@greenspark.dev, my age is 29, and sex male.","[NAME, IP, EMAIL, age, sex]",[EMAIL],[EMAIL],"[{""text"": ""Jordan Barrett"", ""label"": ""PERSON"", ""start"": 16, ""end"": 30, ""source"": ""spacy""}, {""text"": ""IP 203.0.113.21"", ""label"": ""ORG"", ""start"": 35, ""end"": 50, ""source"": ""spacy""}, {""text"": ""jordan.b@greenspark.dev"", ""label"": ""PERSON"", ""start"": 61, ""end"": 84, ""source"": ""spacy""}, {""text"": ""29"", ""label"": ""DATE"", ""start"": 96, ""end"": 98, ""source"": ""spacy""}, {""text"": ""jordan.b@greenspark.dev"", ""label"": ""EMAIL"", ""start"": 61, ""end"": 84, ""source"": ""regex""}, {""text"": ""203.0.113.21"", ""label"": ""IP_ADDRESS"", ""start"": 38, ""end"": 50, ""source"": ""regex""}]"
"Earlier I shared my SSN 220-11-0099, my Visa ending 1199, phone 646-555-6622, email katherine.burke@sunlight.io, and DOB 03/30/1993.","[SSN, CREDIT_CARD, PHONE, EMAIL, DATE/DOB]","[PHONE, EMAIL]","[EMAIL, PHONE, CREDIT_CARD, DATE/DOB, SSN]","[{""text"": ""SSN"", ""label"": ""ORG"", ""start"": 20, ""end"": 23, ""source"": ""spacy""}, {""text"": ""220"", ""label"": ""CARDINAL"", ""start"": 24, ""end"": 27, ""source"": ""spacy""}, {""text"": ""Visa"", ""label"": ""ORG"", ""start"": 40, ""end"": 44, ""source"": ""spacy""}, {""text"": ""ending 1199"", ""label"": ""DATE"", ""start"": 45, ""end"": 56, ""source"": ""spacy""}, {""text"": ""646"", ""label"": ""CARDINAL"", ""start"": 64, ""end"": 67, ""source"": ""spacy""}, {""text"": ""DOB"", ""label"": ""ORG"", ""start"": 117, ""end"": 120, ""source"": ""spacy""}, {""text"": ""katherine.burke@sunlight.io"", ""label"": ""EMAIL"", ""start"": 84, ""end"": 111, ""source"": ""regex""}, {""text"": ""646-555-6622"", ""label"": ""PHONE"", ""start"": 64, ""end"": 76, ""source"": ""regex""}, {""text"": ""220-11-0099"", ""label"": ""SSN"", ""start"": 24, ""end"": 35, ""source"": ""regex""}]"
"I mentioned my name is Jason Fox, email j.fox@apexanalytics.io, phone 415-555-3002, and that I live in San Francisco and work at Apex Analytics.","[NAME, EMAIL, PHONE, location, company]","[PHONE, EMAIL]","[EMAIL, PHONE]","[{""text"": ""Jason Fox"", ""label"": ""PERSON"", ""start"": 23, ""end"": 32, ""source"": ""spacy""}, {""text"": ""j.fox@apexanalytics.io"", ""label"": ""ORG"", ""start"": 40, ""end"": 62, ""source"": ""spacy""}, {""text"": ""415"", ""label"": ""CARDINAL"", ""start"": 70, ""end"": 73, ""source"": ""spacy""}, {""text"": ""San Francisco"", ""label"": ""GPE"", ""start"": 103, ""end"": 116, ""source"": ""spacy""}, {""text"": ""Apex Analytics"", ""label"": ""ORG"", ""start"": 129, ""end"": 143, ""source"": ""spacy""}, {""text"": ""j.fox@apexanalytics.io"", ""label"": ""EMAIL"", ""start"": 40, ""end"": 62, ""source"": ""regex""}, {""text"": ""415-555-3002"", ""label"": ""PHONE"", ""start"": 70, ""end"": 82, ""source"": ""regex""}]"
"I said my IP 192.168.4.19, age 26, sex male, email monica.payne@orionlabs.co, and my name is Monica Payne.","[IP, age, sex, EMAIL, NAME]",[EMAIL],[EMAIL],"[{""text"": ""IP 192.168.4.19"", ""label"": ""ORG"", ""start"": 10, ""end"": 25, ""source"": ""spacy""}, {""text"": ""age 26"", ""label"": ""DATE"", ""start"": 27, ""end"": 33, ""source"": ""spacy""}, {""text"": ""Monica Payne"", ""label"": ""PERSON"", ""start"": 93, ""end"": 105, ""source"": ""spacy""}, {""text"": ""monica.payne@orionlabs.co"", ""label"": ""EMAIL"", ""start"": 51, ""end"": 76, ""source"": ""regex""}, {""text"": ""192.168.4.19"", ""label"": ""IP_ADDRESS"", ""start"": 13, ""end"": 25, ""source"": ""regex""}]"
"Earlier I told them my SSN 333-22-1111, Mastercard ending 0091, email oliver.hughes@vertex.io, and my phone 212-555-7720.","[SSN, CREDIT_CARD, EMAIL, PHONE]","[PHONE, EMAIL]","[EMAIL, PHONE, CREDIT_CARD, SSN]","[{""text"": ""SSN"", ""label"": ""ORG"", ""start"": 23, ""end"": 26, ""source"": ""spacy""}, {""text"": ""333-22-1111"", ""label"": ""PRODUCT"", ""start"": 27, ""end"": 38, ""source"": ""spacy""}, {""text"": ""Mastercard"", ""label"": ""GPE"", ""start"": 40, ""end"": 50, ""source"": ""spacy""}, {""text"": ""212"", ""label"": ""CARDINAL"", ""start"": 108, ""end"": 111, ""source"": ""spacy""}, {""text"": ""oliver.hughes@vertex.io"", ""label"": ""EMAIL"", ""start"": 70, ""end"": 93, ""source"": ""regex""}, {""text"": ""212-555-7720"", ""label"": ""PHONE"", ""start"": 108, ""end"": 120, ""source"": ""regex""}, {""text"": ""333-22-1111"", ""label"": ""SSN"", ""start"": 27, ""end"": 38, ""source"": ""regex""}]"
"I mentioned my date of birth is 12/12/1991, my email nina.patel@greenenergy.org, my phone 646-555-9002, and that I live at 12 Maple Ave, Jersey City.","[DATE/DOB, EMAIL, PHONE, location]","[PHONE, EMAIL]","[EMAIL, PHONE, DATE/DOB]","[{""text"": ""12/12/1991"", ""label"": ""DATE"", ""start"": 32, ""end"": 42, ""source"": ""spacy""}, {""text"": ""646"", ""label"": ""CARDINAL"", ""start"": 90, ""end"": 93, ""source"": ""spacy""}, {""text"": ""12"", ""label"": ""CARDINAL"", ""start"": 123, ""end"": 125, ""source"": ""spacy""}, {""text"": ""Jersey City"", ""label"": ""GPE"", ""start"": 137, ""end"": 148, ""source"": ""spacy""}, {""text"": ""nina.patel@greenenergy.org"", ""label"": ""EMAIL"", ""start"": 53, ""end"": 79, ""source"": ""regex""}, {""text"": ""646-555-9002"", ""label"": ""PHONE"", ""start"": 90, ""end"": 102, ""source"": ""regex""}]"
"I said I'm Kai Nakamura, my IP 203.0.113.99, my email kai.n@apexlogistics.com, age 31, and I work at Apex Logistics in Tokyo.","[NAME, IP, EMAIL, age, company, location]",[EMAIL],[EMAIL],"[{""text"": ""Kai Nakamura"", ""label"": ""PERSON"", ""start"": 11, ""end"": 23, ""source"": ""spacy""}, {""text"": ""IP 203.0.113.99"", ""label"": ""ORG"", ""start"": 28, ""end"": 43, ""source"": ""spacy""}, {""text"": ""age 31"", ""label"": ""DATE"", ""start"": 79, ""end"": 85, ""source"": ""spacy""}, {""text"": ""Apex Logistics"", ""label"": ""ORG"", ""start"": 101, ""end"": 115, ""source"": ""spacy""}, {""text"": ""Tokyo"", ""label"": ""GPE"", ""start"": 119, ""end"": 124, ""source"": ""spacy""}, {""text"": ""kai.n@apexlogistics.com"", ""label"": ""EMAIL"", ""start"": 54, ""end"": 77, ""source"": ""regex""}, {""text"": ""203.0.113.99"", ""label"": ""IP_ADDRESS"", ""start"": 31, ""end"": 43, ""source"": ""regex""}]"
"I told support my SSN 777-55-4411, card ending 3312, my email yuki.tanaka@orionlabs.jp, and my phone 646-555-2217.","[SSN, CREDIT_CARD, EMAIL, PHONE]","[PHONE, EMAIL]","[EMAIL, PHONE, CREDIT_CARD, SSN]","[{""text"": ""SSN"", ""label"": ""ORG"", ""start"": 18, ""end"": 21, ""source"": ""spacy""}, {""text"": ""777-55-4411"", ""label"": ""PRODUCT"", ""start"": 22, ""end"": 33, ""source"": ""spacy""}, {""text"": ""3312"", ""label"": ""DATE"", ""start"": 47, ""end"": 51, ""source"": ""spacy""}, {""text"": ""646"", ""label"": ""CARDINAL"", ""start"": 101, ""end"": 104, ""source"": ""spacy""}, {""text"": ""yuki.tanaka@orionlabs.jp"", ""label"": ""EMAIL"", ""start"": 62, ""end"": 86, ""source"": ""regex""}, {""text"": ""646-555-2217"", ""label"": ""PHONE"", ""start"": 101, ""end"": 113, ""source"": ""regex""}, {""text"": ""777-55-4411"", ""label"": ""SSN"", ""start"": 22, ""end"": 33, ""source"": ""regex""}]"
"Earlier I mentioned my DOB 1995-04-04, email amir.rahman@vertex.ai, phone 415-555-6050, and that I live in Fremont.","[DATE/DOB, EMAIL, PHONE, location]","[PHONE, EMAIL]","[EMAIL, PHONE, DATE/DOB]","[{""text"": ""DOB"", ""label"": ""ORG"", ""start"": 23, ""end"": 26, ""source"": ""spacy""}, {""text"": ""1995-04-04"", ""label"": ""DATE"", ""start"": 27, ""end"": 37, ""source"": ""spacy""}, {""text"": ""415"", ""label"": ""CARDINAL"", ""start"": 74, ""end"": 77, ""source"": ""spacy""}, {""text"": ""Fremont"", ""label"": ""GPE"", ""start"": 107, ""end"": 114, ""source"": ""spacy""}, {""text"": ""amir.rahman@vertex.ai"", ""label"": ""EMAIL"", ""start"": 45, ""end"": 66, ""source"": ""regex""}, {""text"": ""415-555-6050"", ""label"": ""PHONE"", ""start"": 74, ""end"": 86, ""source"": ""regex""}]"
"I said my SSN 555-00-2233, my Visa ending 6712, my IP 10.1.0.1, and my email leila.farouk@greenspark.io.","[SSN, CREDIT_CARD, IP, EMAIL]",[EMAIL],"[EMAIL, CREDIT_CARD, SSN]","[{""text"": ""SSN"", ""label"": ""ORG"", ""start"": 10, ""end"": 13, ""source"": ""spacy""}, {""text"": ""Visa"", ""label"": ""ORG"", ""start"": 30, ""end"": 34, ""source"": ""spacy""}, {""text"": ""leila.farouk@greenspark.io"", ""label"": ""EMAIL"", ""start"": 77, ""end"": 103, ""source"": ""regex""}, {""text"": ""10.1.0.1"", ""label"": ""IP_ADDRESS"", ""start"": 54, ""end"": 62, ""source"": ""regex""}, {""text"": ""555-00-2233"", ""label"": ""SSN"", ""start"": 14, ""end"": 25, ""source"": ""regex""}]"
"I told them I'm Tariq Hassan, phone 212-555-7721, email tariq.hassan@sunriseenergy.com, age 36, and I live in New York.","[NAME, PHONE, EMAIL, age, location]","[PHONE, EMAIL]","[EMAIL, PHONE]","[{""text"": ""Tariq Hassan"", ""label"": ""PERSON"", ""start"": 16, ""end"": 28, ""source"": ""spacy""}, {""text"": ""212"", ""label"": ""CARDINAL"", ""start"": 36, ""end"": 39, ""source"": ""spacy""}, {""text"": ""age 36"", ""label"": ""DATE"", ""start"": 88, ""end"": 94, ""source"": ""spacy""}, {""text"": ""New York"", ""label"": ""GPE"", ""start"": 110, ""end"": 118, ""source"": ""spacy""}, {""text"": ""tariq.hassan@sunriseenergy.com"", ""label"": ""EMAIL"", ""start"": 56, ""end"": 86, ""source"": ""regex""}, {""text"": ""212-555-7721"", ""label"": ""PHONE"", ""start"": 36, ""end"": 48, ""source"": ""regex""}]"
"Earlier I shared my DOB 1990-02-15, email daria.volkov@apexanalytics.ru, phone 646-555-2288, and that I work at Apex Analytics.","[DATE/DOB, EMAIL, PHONE, company]","[PHONE, EMAIL]","[EMAIL, PHONE, DATE/DOB]","[{""text"": ""DOB"", ""label"": ""ORG"", ""start"": 20, ""end"": 23, ""source"": ""spacy""}, {""text"": ""1990-02-15"", ""label"": ""DATE"", ""start"": 24, ""end"": 34, ""source"": ""spacy""}, {""text"": ""646"", ""label"": ""CARDINAL"", ""start"": 79, ""end"": 82, ""source"": ""spacy""}, {""text"": ""Apex Analytics"", ""label"": ""ORG"", ""start"": 112, ""end"": 126, ""source"": ""spacy""}, {""text"": ""daria.volkov@apexanalytics.ru"", ""label"": ""EMAIL"", ""start"": 42, ""end"": 71, ""source"": ""regex""}, {""text"": ""646-555-2288"", ""label"": ""PHONE"", ""start"": 79, ""end"": 91, ""source"": ""regex""}]"
"I mentioned my SSN 654-00-1122, card ending 7718, my email sergei.petrov@orionlabs.ru, and my IP 198.51.100.55.","[SSN, CREDIT_CARD, EMAIL, IP]",[EMAIL],"[EMAIL, CREDIT_CARD, SSN]","[{""text"": ""SSN"", ""label"": ""ORG"", ""start"": 15, ""end"": 18, ""source"": ""spacy""}, {""text"": ""7718"", ""label"": ""DATE"", ""start"": 44, ""end"": 48, ""source"": ""spacy""}, {""text"": ""198.51.100.55"", ""label"": ""DATE"", ""start"": 97, ""end"": 110, ""source"": ""spacy""}, {""text"": ""sergei.petrov@orionlabs.ru"", ""label"": ""EMAIL"", ""start"": 59, ""end"": 85, ""source"": ""regex""}, {""text"": ""198.51.100.55"", ""label"": ""IP_ADDRESS"", ""start"": 97, ""end"": 110, ""source"": ""regex""}, {""text"": ""654-00-1122"", ""label"": ""SSN"", ""start"": 19, ""end"": 30, ""source"": ""regex""}]"
"I said my name is Marta Kowalski, my phone 415-555-6611, my email marta.k@vertex.ai, my date of birth 01/22/1992, and I live in Krakow.","[NAME, PHONE, EMAIL, DATE/DOB, location]","[PHONE, EMAIL]","[EMAIL, PHONE, DATE/DOB]","[{""text"": ""Marta Kowalski"", ""label"": ""PERSON"", ""start"": 18, ""end"": 32, ""source"": ""spacy""}, {""text"": ""415"", ""label"": ""CARDINAL"", ""start"": 43, ""end"": 46, ""source"": ""spacy""}, {""text"": ""marta.k@vertex.ai"", ""label"": ""PERSON"", ""start"": 66, ""end"": 83, ""source"": ""spacy""}, {""text"": ""Krakow"", ""label"": ""GPE"", ""start"": 128, ""end"": 134, ""source"": ""spacy""}, {""text"": ""marta.k@vertex.ai"", ""label"": ""EMAIL"", ""start"": 66, ""end"": 83, ""source"": ""regex""}, {""text"": ""415-555-6611"", ""label"": ""PHONE"", ""start"": 43, ""end"": 55, ""source"": ""regex""}]"
"I told the rep my IP 172.16.44.55, my email alex.rivera@quantum.dev, my age 33, sex male, and that I work at Quantum Systems.","[IP, EMAIL, age, sex, company]",[EMAIL],[EMAIL],"[{""text"": ""IP"", ""label"": ""ORG"", ""start"": 18, ""end"": 20, ""source"": ""spacy""}, {""text"": ""age 33"", ""label"": ""DATE"", ""start"": 72, ""end"": 78, ""source"": ""spacy""}, {""text"": ""Quantum Systems"", ""label"": ""ORG"", ""start"": 109, ""end"": 124, ""source"": ""spacy""}, {""text"": ""alex.rivera@quantum.dev"", ""label"": ""EMAIL"", ""start"": 44, ""end"": 67, ""source"": ""regex""}, {""text"": ""172.16.44.55"", ""label"": ""IP_ADDRESS"", ""start"": 21, ""end"": 33, ""source"": ""regex""}]"
"Earlier I shared my SSN 102-10-4444, my Mastercard ending 1209, my phone 312-555-7711, my email priya.m@novahealth.org, and DOB 1991-05-11.","[SSN, CREDIT_CARD, PHONE, EMAIL, DATE/DOB]","[PHONE, EMAIL]","[EMAIL, PHONE, CREDIT_CARD, DATE/DOB, SSN]","[{""text"": ""SSN"", ""label"": ""ORG"", ""start"": 20, ""end"": 23, ""source"": ""spacy""}, {""text"": ""102"", ""label"": ""CARDINAL"", ""start"": 24, ""end"": 27, ""source"": ""spacy""}, {""text"": ""Mastercard"", ""label"": ""ORG"", ""start"": 40, ""end"": 50, ""source"": ""spacy""}, {""text"": ""1209"", ""label"": ""DATE"", ""start"": 58, ""end"": 62, ""source"": ""spacy""}, {""text"": ""312"", ""label"": ""CARDINAL"", ""start"": 73, ""end"": 76, ""source"": ""spacy""}, {""text"": ""DOB"", ""label"": ""ORG"", ""start"": 124, ""end"": 127, ""source"": ""spacy""}, {""text"": ""1991-05-11"", ""label"": ""DATE"", ""start"": 128, ""end"": 138, ""source"": ""spacy""}, {""text"": ""priya.m@novahealth.org"", ""label"": ""EMAIL"", ""start"": 96, ""end"": 118, ""source"": ""regex""}, {""text"": ""312-555-7711"", ""label"": ""PHONE"", ""start"": 73, ""end"": 85, ""source"": ""regex""}, {""text"": ""102-10-4444"", ""label"": ""SSN"", ""start"": 24, ""end"": 35, ""source"": ""regex""}]"
"I mentioned my name is Michael Chen, my email michael.chen@bluewave.com, my phone 646-555-8820, and that I live in Queens.","[NAME, EMAIL, PHONE, location]","[PHONE, EMAIL]","[EMAIL, PHONE]","[{""text"": ""Michael Chen"", ""label"": ""PERSON"", ""start"": 23, ""end"": 35, ""source"": ""spacy""}, {""text"": ""646"", ""label"": ""CARDINAL"", ""start"": 82, ""end"": 85, ""source"": ""spacy""}, {""text"": ""Queens"", ""label"": ""GPE"", ""start"": 115, ""end"": 121, ""source"": ""spacy""}, {""text"": ""michael.chen@bluewave.com"", ""label"": ""EMAIL"", ""start"": 46, ""end"": 71, ""source"": ""regex""}, {""text"": ""646-555-8820"", ""label"": ""PHONE"", ""start"": 82, ""end"": 94, ""source"": ""regex""}]"
"I said my IP 192.168.88.22, age 27, sex female, email sara.ahmed@sunlight.io, and my name is Sara Ahmed.","[IP, age, sex, EMAIL, NAME]",[EMAIL],[EMAIL],"[{""text"": ""192.168.88.22"", ""label"": ""DATE"", ""start"": 13, ""end"": 26, ""source"": ""spacy""}, {""text"": ""age 27"", ""label"": ""DATE"", ""start"": 28, ""end"": 34, ""source"": ""spacy""}, {""text"": ""Sara Ahmed"", ""label"": ""PERSON"", ""start"": 93, ""end"": 103, ""source"": ""spacy""}, {""text"": ""sara.ahmed@sunlight.io"", ""label"": ""EMAIL"", ""start"": 54, ""end"": 76, ""source"": ""regex""}, {""text"": ""192.168.88.22"", ""label"": ""IP_ADDRESS"", ""start"": 13, ""end"": 26, ""source"": ""regex""}]"
"I told them my SSN 321-77-8888, card ending 6677, my email liam.oconnor@apexlogistics.io, and my phone 212-555-7715.","[SSN, CREDIT_CARD, EMAIL, PHONE]","[PHONE, EMAIL]","[EMAIL, PHONE, CREDIT_CARD, SSN]","[{""text"": ""321"", ""label"": ""CARDINAL"", ""start"": 19, ""end"": 22, ""source"": ""spacy""}, {""text"": ""6677"", ""label"": ""DATE"", ""start"": 44, ""end"": 48, ""source"": ""spacy""}, {""text"": ""212"", ""label"": ""CARDINAL"", ""start"": 103, ""end"": 106, ""source"": ""spacy""}, {""text"": ""liam.oconnor@apexlogistics.io"", ""label"": ""EMAIL"", ""start"": 59, ""end"": 88, ""source"": ""regex""}, {""text"": ""212-555-7715"", ""label"": ""PHONE"", ""start"": 103, ""end"": 115, ""source"": ""regex""}, {""text"": ""321-77-8888"", ""label"": ""SSN"", ""start"": 19, ""end"": 30, ""source"": ""regex""}]"
"Earlier I shared my DOB 07/07/1990, my email maya.patel@novahealth.ai, my phone 415-555-2299, and that I live in Oakland.","[DATE/DOB, EMAIL, PHONE, location]","[PHONE, EMAIL]","[EMAIL, PHONE, DATE/DOB]","[{""text"": ""DOB"", ""label"": ""ORG"", ""start"": 20, ""end"": 23, ""source"": ""spacy""}, {""text"": ""415"", ""label"": ""CARDINAL"", ""start"": 80, ""end"": 83, ""source"": ""spacy""}, {""text"": ""Oakland"", ""label"": ""GPE"", ""start"": 113, ""end"": 120, ""source"": ""spacy""}, {""text"": ""maya.patel@novahealth.ai"", ""label"": ""EMAIL"", ""start"": 45, ""end"": 69, ""source"": ""regex""}, {""text"": ""415-555-2299"", ""label"": ""PHONE"", ""start"": 80, ""end"": 92, ""source"": ""regex""}]"
"I mentioned my SSN 555-77-1122, my Visa ending 2201, my IP 203.0.113.33, and my email diego.f@sunlight.io.","[SSN, CREDIT_CARD, IP, EMAIL]",[EMAIL],"[EMAIL, CREDIT_CARD, SSN]","[{""text"": ""SSN"", ""label"": ""ORG"", ""start"": 15, ""end"": 18, ""source"": ""spacy""}, {""text"": ""Visa"", ""label"": ""ORG"", ""start"": 35, ""end"": 39, ""source"": ""spacy""}, {""text"": ""203.0.113.33"", ""label"": ""CARDINAL"", ""start"": 59, ""end"": 71, ""source"": ""spacy""}, {""text"": ""diego.f@sunlight.io"", ""label"": ""EMAIL"", ""start"": 86, ""end"": 105, ""source"": ""regex""}, {""text"": ""203.0.113.33"", ""label"": ""IP_ADDRESS"", ""start"": 59, ""end"": 71, ""source"": ""regex""}, {""text"": ""555-77-1122"", ""label"": ""SSN"", ""start"": 19, ""end"": 30, ""source"": ""regex""}]"
"I said I'm Hannah Kim, phone 415-555-1177, email hannah.kim@horizonmedia.co, age 29, and I live in Austin.","[NAME, PHONE, EMAIL, age, location]","[PHONE, EMAIL]","[EMAIL, PHONE]","[{""text"": ""Hannah Kim"", ""label"": ""PERSON"", ""start"": 11, ""end"": 21, ""source"": ""spacy""}, {""text"": ""415"", ""label"": ""CARDINAL"", ""start"": 29, ""end"": 32, ""source"": ""spacy""}, {""text"": ""hannah.kim@horizonmedia.co"", ""label"": ""PERSON"", ""start"": 49, ""end"": 75, ""source"": ""spacy""}, {""text"": ""age 29"", ""label"": ""DATE"", ""start"": 77, ""end"": 83, ""source"": ""spacy""}, {""text"": ""Austin"", ""label"": ""GPE"", ""start"": 99, ""end"": 105, ""source"": ""spacy""}, {""text"": ""hannah.kim@horizonmedia.co"", ""label"": ""EMAIL"", ""start"": 49, ""end"": 75, ""source"": ""regex""}, {""text"": ""415-555-1177"", ""label"": ""PHONE"", ""start"": 29, ""end"": 41, ""source"": ""regex""}]"
"I told the rep my DOB 1993-09-19, my email noah.williams@vertex.ai, my phone 646-555-3322, and that I work at Vertex AI.","[DATE/DOB, EMAIL, PHONE, company]","[PHONE, EMAIL]","[EMAIL, PHONE, DATE/DOB]","[{""text"": ""DOB"", ""label"": ""ORG"", ""start"": 18, ""end"": 21, ""source"": ""spacy""}, {""text"": ""1993-09-19"", ""label"": ""DATE"", ""start"": 22, ""end"": 32, ""source"": ""spacy""}, {""text"": ""646"", ""label"": ""CARDINAL"", ""start"": 77, ""end"": 80, ""source"": ""spacy""}, {""text"": ""Vertex AI"", ""label"": ""FAC"", ""start"": 110, ""end"": 119, ""source"": ""spacy""}, {""text"": ""noah.williams@vertex.ai"", ""label"": ""EMAIL"", ""start"": 43, ""end"": 66, ""source"": ""regex""}, {""text"": ""646-555-3322"", ""label"": ""PHONE"", ""start"": 77, ""end"": 89, ""source"": ""regex""}]"
"Earlier I shared my SSN 234-88-9901, my Mastercard ending 5511, my IP 10.0.0.111, and my email ava.johnson@orioncloud.com.","[SSN, CREDIT_CARD, IP, EMAIL]",[EMAIL],"[EMAIL, CREDIT_CARD, SSN]","[{""text"": ""SSN"", ""label"": ""ORG"", ""start"": 20, ""end"": 23, ""source"": ""spacy""}, {""text"": ""234-88-9901"", ""label"": ""PRODUCT"", ""start"": 24, ""end"": 35, ""source"": ""spacy""}, {""text"": ""Mastercard"", ""label"": ""ORG"", ""start"": 40, ""end"": 50, ""source"": ""spacy""}, {""text"": ""5511"", ""label"": ""DATE"", ""start"": 58, ""end"": 62, ""source"": ""spacy""}, {""text"": ""IP"", ""label"": ""ORG"", ""start"": 67, ""end"": 69, ""source"": ""spacy""}, {""text"": ""ava.johnson@orioncloud.com"", ""label"": ""EMAIL"", ""start"": 95, ""end"": 121, ""source"": ""regex""}, {""text"": ""10.0.0.111"", ""label"": ""IP_ADDRESS"", ""start"": 70, ""end"": 80, ""source"": ""regex""}, {""text"": ""234-88-9901"", ""label"": ""SSN"", ""start"": 24, ""end"": 35, ""source"": ""regex""}]"
